phone_number,email,credit_score,age_group,family_background,income,comments,intent
+91-9689852589,michaelmartin@example.org,395,18-25,Married with Kids,650251,urgent later,1
+91-9086105382,melaniemullen@example.com,769,26-35,Married,110167,later immediately,1
+91-9296722812,jarvisandrew@example.com,585,18-25,Single,792476,now,0
+91-9716030292,twallace@example.net,689,36-50,Single,513692,soon,0
+91-9628266456,vgreene@example.net,447,26-35,Single,570472,immediately,1
+91-9620235691,william69@example.com,377,26-35,Married with Kids,280521,interested now,0
+91-9983723346,callen@example.net,832,26-35,Married,305338,soon maybe interested,1
+91-9710610748,phahn@example.net,792,26-35,Single,475252,soon,1
+91-9238662259,farleysarah@example.net,579,26-35,Single,899825,now,1
+91-9795982695,garyshepard@example.com,320,36-50,Married,547724,maybe interested now,0
+91-9305323583,juliaanderson@example.org,657,18-25,Married,437731,maybe now,0
+91-9468586889,rachel08@example.com,612,51+,Married,947368,not interested,1
+91-9271901262,taylor19@example.net,449,36-50,Single,107898,urgent maybe later,0
+91-9723138878,caseylivingston@example.net,813,18-25,Single,987894,not interested,1
+91-9880846948,clarklauren@example.net,365,51+,Single,570323,interested soon,1
+91-9470734446,robertsjesse@example.org,749,51+,Married with Kids,814254,soon,1
+91-9572190356,masseymatthew@example.org,550,26-35,Single,845284,urgent interested soon,1
+91-9346081812,mmercado@example.org,627,51+,Single,560892,maybe interested not interested,1
+91-9294967678,llynch@example.org,784,36-50,Single,903307,soon maybe,1
+91-9646308849,saramercer@example.net,794,51+,Married,395798,interested not interested,1
+91-9109101500,david86@example.com,670,36-50,Married with Kids,464059,later now soon,1
+91-9530813529,robert87@example.com,651,36-50,Single,796312,soon,1
+91-9558851760,castrojennifer@example.org,752,36-50,Married,201416,now soon,0
+91-9107560448,ryan19@example.net,566,51+,Married with Kids,170182,later,0
+91-9764061583,dalehernandez@example.com,332,26-35,Married,102282,later urgent,0
+91-9924499891,stephanie99@example.org,617,26-35,Married with Kids,879349,soon,0
+91-9133384951,whitesherry@example.com,497,18-25,Married with Kids,479898,interested soon urgent,1
+91-9492638338,conniecannon@example.org,796,51+,Single,756274,soon maybe,1
+91-9445560909,obrooks@example.net,399,18-25,Married,316411,urgent,1
+91-9144883036,leonjason@example.net,552,18-25,Married with Kids,612084,interested,0
+91-9776829607,jenniferlowe@example.com,555,51+,Single,531802,later,0
+91-9207119995,salinascynthia@example.net,430,26-35,Married,791364,soon,1
+91-9689780253,jose88@example.net,807,36-50,Married with Kids,364495,maybe not interested,1
+91-9405489476,warren58@example.net,301,26-35,Married with Kids,138498,now maybe soon,0
+91-9144959347,erin03@example.com,583,18-25,Single,289334,immediately maybe soon,1
+91-9434556470,kevintaylor@example.org,669,26-35,Married with Kids,201349,immediately soon later,0
+91-9410168300,hannahgilbert@example.com,356,51+,Single,500587,later,0
+91-9888041744,regina25@example.com,556,18-25,Married with Kids,352261,interested,0
+91-9390555607,nancy45@example.net,571,51+,Single,716274,interested urgent soon,0
+91-9752141500,marytownsend@example.com,719,51+,Single,830642,maybe interested,1
+91-9141632372,jessicatyler@example.net,677,36-50,Single,897415,now interested urgent,0
+91-9394116000,xcompton@example.com,354,36-50,Married,753569,interested,1
+91-9079232576,michael36@example.org,558,51+,Married with Kids,451769,now,1
+91-9445620261,trichards@example.com,685,26-35,Single,314193,immediately,0
+91-9326859371,vbenson@example.net,566,36-50,Single,529253,urgent later not interested,1
+91-9620542106,robert50@example.org,464,18-25,Married,107499,now later not interested,0
+91-9883055393,kevinrodriguez@example.org,849,26-35,Married with Kids,802245,maybe urgent,1
+91-9966865168,kevinsandoval@example.com,391,36-50,Married with Kids,627218,later,0
+91-9360166422,jacksonveronica@example.com,724,26-35,Married,279189,soon later maybe,1
+91-9545924302,qwalker@example.org,628,18-25,Married with Kids,312657,immediately,1
+91-9988254543,jennifer74@example.net,780,36-50,Married,522503,immediately,1
+91-9371436602,april33@example.net,817,18-25,Single,146111,maybe interested,0
+91-9020388469,dennisjerry@example.com,619,36-50,Married,975533,urgent not interested,1
+91-9518920343,kflores@example.com,599,51+,Single,768367,immediately urgent,1
+91-9432793209,jonestonya@example.com,599,51+,Single,865983,maybe later,1
+91-9555173342,slyons@example.com,696,51+,Married with Kids,594078,immediately soon,0
+91-9700680745,carrollchristopher@example.com,536,26-35,Married with Kids,176937,maybe soon,1
+91-9292330099,edwardsmatthew@example.com,633,36-50,Married,550915,soon maybe immediately,0
+91-9023656625,barreraapril@example.net,584,36-50,Married,430234,maybe later,1
+91-9719532674,jameschristina@example.net,707,18-25,Married with Kids,324566,maybe soon immediately,1
+91-9570545115,daniel86@example.net,374,18-25,Married,896142,urgent,1
+91-9823196056,dgray@example.net,310,18-25,Married with Kids,821352,not interested later,1
+91-9122230630,jamesbennett@example.com,749,36-50,Married,721180,later now not interested,1
+91-9435188595,cstewart@example.com,417,26-35,Married,658817,immediately,0
+91-9472917293,greenlaurie@example.net,601,51+,Married with Kids,401713,urgent maybe soon,0
+91-9339873420,ernestwarner@example.net,799,26-35,Married with Kids,795255,maybe later,1
+91-9625629938,kendranelson@example.org,559,26-35,Married,322626,interested not interested urgent,1
+91-9271384283,perrymaurice@example.com,485,51+,Single,688111,immediately,1
+91-9989074364,stephanie35@example.net,389,26-35,Single,536883,immediately not interested,0
+91-9770230824,colemanheather@example.org,337,36-50,Married with Kids,966985,interested not interested,0
+91-9938391672,kristen15@example.net,580,18-25,Married,491382,later now urgent,0
+91-9349944936,rwest@example.net,325,26-35,Married,966899,immediately interested,1
+91-9713971180,lisacooke@example.com,806,26-35,Single,482720,urgent maybe now,0
+91-9920408218,julie90@example.com,730,36-50,Married with Kids,432345,maybe urgent,0
+91-9289118337,debraprice@example.net,557,51+,Married,239023,later soon,0
+91-9016544627,lewiswesley@example.com,818,36-50,Married with Kids,418953,later,0
+91-9044992110,hughesandrew@example.net,384,36-50,Married,461383,interested not interested,1
+91-9104599797,alejandrostevens@example.org,777,36-50,Single,290625,soon not interested urgent,0
+91-9290389039,deannafox@example.net,732,51+,Married,481883,soon interested later,1
+91-9008869046,thomascharles@example.net,492,51+,Single,928718,immediately not interested maybe,1
+91-9942949556,robertclark@example.net,558,36-50,Married with Kids,977983,maybe immediately soon,1
+91-9187781925,jacksonrobert@example.net,403,36-50,Single,702051,now soon immediately,1
+91-9932537527,walkeramber@example.org,355,36-50,Single,316070,maybe soon now,0
+91-9709644085,kimberlyjennings@example.com,794,36-50,Single,680612,interested immediately later,1
+91-9811572914,latoyastewart@example.net,536,36-50,Married,182755,urgent,0
+91-9332551144,brittanystevens@example.org,437,36-50,Married with Kids,484653,not interested,1
+91-9239244035,qsherman@example.net,444,26-35,Single,611225,now,1
+91-9191792343,lwang@example.com,696,51+,Married,811492,maybe later,1
+91-9915051095,sanchezheidi@example.net,464,36-50,Married with Kids,791842,interested soon,1
+91-9246410152,bakergary@example.org,446,26-35,Married,203497,interested,0
+91-9022018874,jaclynhutchinson@example.net,504,26-35,Single,264705,interested now immediately,0
+91-9054101739,carlos68@example.net,517,36-50,Married with Kids,536667,now,1
+91-9142488421,sarawest@example.com,443,36-50,Married,429287,now urgent,0
+91-9809194157,michellehicks@example.net,427,26-35,Married with Kids,433400,later urgent,1
+91-9533943882,meghan16@example.org,337,36-50,Married,236618,immediately now,0
+91-9635631155,nataliegonzalez@example.com,396,26-35,Single,843545,not interested,1
+91-9716480122,normalarsen@example.com,657,26-35,Married with Kids,989268,immediately interested,1
+91-9008875002,patrickmclaughlin@example.org,812,36-50,Married with Kids,322693,now maybe,0
+91-9750782431,gardnerashley@example.com,352,18-25,Married,548946,immediately now not interested,0
+91-9785564341,julietorres@example.org,379,26-35,Single,662513,later urgent now,0
+91-9368748455,kevinlee@example.org,568,26-35,Single,962245,interested soon,1
+91-9609846202,pmckay@example.org,440,51+,Married,569322,soon maybe,1
+91-9820244607,elijah04@example.org,816,36-50,Married with Kids,323392,not interested immediately,1
+91-9633018432,rachelmueller@example.com,395,18-25,Single,768674,urgent,1
+91-9298009340,ahernandez@example.org,576,36-50,Married,117632,not interested,0
+91-9471765165,brandon47@example.com,834,51+,Married with Kids,131923,soon later,0
+91-9425086216,sloanjulia@example.org,330,26-35,Single,927633,urgent soon now,0
+91-9969493717,znixon@example.net,710,18-25,Single,532843,later soon not interested,1
+91-9010109777,oolson@example.org,462,18-25,Single,117629,not interested,0
+91-9140153700,ssanchez@example.com,609,51+,Married,669835,urgent,1
+91-9627714139,samueltaylor@example.com,591,26-35,Single,861736,urgent maybe interested,0
+91-9360466061,randy91@example.net,803,18-25,Married with Kids,235303,soon maybe not interested,1
+91-9432040440,sarahlewis@example.net,314,36-50,Married with Kids,836783,immediately later not interested,1
+91-9049188451,deleonluis@example.org,443,26-35,Married,363210,later maybe,1
+91-9961320379,heathsylvia@example.com,587,51+,Married with Kids,283378,immediately not interested,1
+91-9977465167,taylorvega@example.org,627,26-35,Single,597351,urgent now not interested,0
+91-9121717058,jamesandrews@example.org,552,51+,Married,556884,interested soon later,1
+91-9004082221,vgriffin@example.net,723,36-50,Married with Kids,813281,now urgent interested,0
+91-9488145976,guzmanleslie@example.net,418,18-25,Married,737945,not interested,0
+91-9187741284,saundersmelissa@example.org,415,36-50,Married,583757,maybe immediately soon,0
+91-9075069503,kristinaburns@example.org,412,51+,Single,920938,maybe urgent,1
+91-9976442932,joshuahampton@example.com,344,51+,Married,450661,immediately soon urgent,0
+91-9727191146,phillipsjamie@example.com,757,18-25,Married,925160,urgent maybe later,1
+91-9980548164,ballardjennifer@example.org,717,36-50,Married with Kids,818433,maybe now not interested,0
+91-9457055920,stonetravis@example.net,522,51+,Married,963314,interested urgent,0
+91-9796073250,qmiller@example.org,592,51+,Married with Kids,770701,interested not interested,0
+91-9002418971,wwilson@example.com,316,51+,Married,566463,not interested interested,0
+91-9248811158,brian37@example.com,653,18-25,Single,835387,now immediately maybe,0
+91-9962951757,zmoreno@example.com,394,51+,Married with Kids,576071,soon now,1
+91-9713598549,lisalong@example.net,338,36-50,Married with Kids,223040,now interested soon,0
+91-9808829578,stevengonzalez@example.com,766,18-25,Married with Kids,204188,immediately,0
+91-9693810218,martinezjenna@example.net,389,18-25,Single,903596,now soon urgent,0
+91-9170376279,kennethjohnson@example.net,824,36-50,Married,983909,now later soon,1
+91-9274292123,christopherwhite@example.net,517,51+,Single,422568,urgent,1
+91-9396167495,cynthiajenkins@example.org,747,18-25,Married with Kids,535137,immediately interested,0
+91-9913424920,ericcurtis@example.com,638,18-25,Married with Kids,515951,soon maybe,1
+91-9973157512,carolineshepherd@example.com,687,36-50,Single,523270,not interested interested maybe,1
+91-9146734695,zchurch@example.net,666,51+,Single,799833,maybe,1
+91-9734724596,michaeldixon@example.net,383,26-35,Married,255992,immediately later,0
+91-9551209313,annecohen@example.org,371,26-35,Married with Kids,684525,immediately,0
+91-9156002131,vhouston@example.net,736,51+,Married,522972,soon,1
+91-9310871073,dflores@example.com,660,51+,Married,489335,maybe,1
+91-9102848269,vbennett@example.org,488,36-50,Single,436174,later,0
+91-9330579347,thompsonrandall@example.com,524,51+,Married,440485,maybe,0
+91-9065637072,carlos64@example.net,714,36-50,Married,470627,now,0
+91-9837869452,wgonzalez@example.org,789,26-35,Married,709121,immediately later,1
+91-9895664606,browndaniel@example.com,368,36-50,Married with Kids,160685,maybe not interested,0
+91-9079917717,georgebryant@example.net,462,18-25,Married with Kids,614861,urgent immediately,1
+91-9750806236,kathleenosborne@example.com,743,26-35,Married,234693,later,1
+91-9068459960,melanie22@example.org,623,18-25,Single,195750,now,1
+91-9022075024,danielle35@example.org,495,26-35,Single,134746,interested immediately soon,1
+91-9810801898,morgandavid@example.net,794,26-35,Married,949154,maybe not interested immediately,1
+91-9857771186,blakecarroll@example.org,483,36-50,Married,304906,later maybe urgent,0
+91-9485902724,smithleroy@example.net,721,51+,Single,290311,maybe immediately,0
+91-9942092128,riosmelissa@example.com,508,26-35,Married,655098,urgent later immediately,0
+91-9262055832,whitejessica@example.com,402,18-25,Married with Kids,451452,immediately later,0
+91-9074818949,singletonmichelle@example.org,697,36-50,Married with Kids,321875,later,0
+91-9518507973,moonsean@example.net,406,18-25,Single,276021,not interested,1
+91-9433613605,farmerjohn@example.com,384,18-25,Married,468716,now soon,0
+91-9543442942,rachel58@example.net,651,36-50,Single,981584,interested urgent,1
+91-9401092262,yjohnson@example.org,806,51+,Married with Kids,173007,now,0
+91-9132988540,jcarter@example.net,481,36-50,Married with Kids,203870,maybe,1
+91-9784796257,xmorris@example.com,498,36-50,Married,396658,immediately urgent later,0
+91-9776954999,cindybaker@example.com,471,26-35,Married,328512,later immediately now,0
+91-9571155527,donaldsmith@example.net,339,18-25,Married,287480,urgent,0
+91-9030470602,njohns@example.com,396,36-50,Single,556551,immediately,0
+91-9983146969,kelly13@example.com,595,51+,Married,794441,immediately later,1
+91-9856996351,walkerlynn@example.net,838,51+,Married with Kids,438412,not interested maybe,0
+91-9138684423,ljordan@example.net,800,51+,Single,695989,later,1
+91-9042075242,jameswalls@example.net,768,51+,Married with Kids,107125,not interested,0
+91-9444292383,danielsmith@example.org,389,26-35,Single,469936,immediately,1
+91-9343449279,jamessantos@example.org,432,18-25,Single,113176,soon,0
+91-9053679972,thomasnatalie@example.org,402,36-50,Married,939455,soon maybe immediately,0
+91-9906236244,charlesnorton@example.com,680,18-25,Single,407815,maybe urgent,0
+91-9232101912,jaimegriffin@example.com,631,36-50,Married with Kids,442309,interested,1
+91-9225395988,elizabethgarrett@example.com,537,51+,Married,592128,now later,0
+91-9652269224,williealvarado@example.com,781,26-35,Married with Kids,833827,interested,1
+91-9951226049,wrighttravis@example.net,612,18-25,Single,594573,maybe soon,1
+91-9394699842,paulhunt@example.com,445,51+,Married with Kids,932102,later not interested,1
+91-9408412295,joelbrown@example.net,342,51+,Single,715767,interested later,0
+91-9734598568,patrick73@example.com,499,51+,Married,351148,interested soon,0
+91-9652398354,kathy62@example.net,588,36-50,Single,639016,urgent soon maybe,1
+91-9202918298,kyle15@example.net,795,51+,Single,154147,interested soon later,1
+91-9450987258,christinearias@example.com,501,26-35,Married,404295,urgent,1
+91-9962368481,moraleskenneth@example.com,787,51+,Married with Kids,463537,later soon,1
+91-9320287071,kristen29@example.com,569,51+,Married with Kids,541939,immediately,0
+91-9433226833,ryanbarrera@example.net,335,26-35,Single,881469,maybe,0
+91-9436583045,abigailchang@example.org,654,36-50,Single,705937,maybe,1
+91-9056826841,hillanne@example.com,745,51+,Single,647036,maybe urgent,1
+91-9573714824,dlogan@example.com,552,26-35,Married,146834,urgent now,1
+91-9726298244,valerie08@example.com,765,51+,Single,747237,interested not interested,1
+91-9325314069,kevinwhite@example.org,497,36-50,Married with Kids,359319,now maybe,0
+91-9071573881,combsmelanie@example.com,457,36-50,Married with Kids,540320,maybe urgent,1
+91-9665121437,khoffman@example.net,607,51+,Single,489939,urgent,1
+91-9347517089,lawsonamanda@example.org,343,26-35,Single,974532,urgent now immediately,1
+91-9873225202,lindseytrujillo@example.org,410,26-35,Married with Kids,143354,soon immediately now,1
+91-9969108737,bryan29@example.org,768,51+,Married,426403,maybe not interested immediately,1
+91-9588286634,angela59@example.org,696,18-25,Married with Kids,264727,urgent,1
+91-9794145929,michelle43@example.net,540,26-35,Married,342879,soon maybe urgent,1
+91-9458746423,edward86@example.org,737,36-50,Married with Kids,310895,now,0
+91-9457866909,heathernguyen@example.com,477,18-25,Single,798661,urgent later,0
+91-9306756167,hmartinez@example.org,388,18-25,Single,749094,later,0
+91-9125455585,nnguyen@example.net,508,26-35,Married,585768,later now,0
+91-9486077169,gschultz@example.com,441,26-35,Married,223147,immediately,0
+91-9261486297,katherine42@example.net,755,26-35,Married,486815,maybe,1
+91-9181107321,astout@example.org,410,18-25,Married,380009,immediately urgent maybe,0
+91-9421128850,shudson@example.org,591,36-50,Married,920700,later immediately urgent,0
+91-9164794427,alexjones@example.org,606,36-50,Married with Kids,998930,now urgent,1
+91-9344068615,sarahrosales@example.net,670,51+,Married with Kids,988217,immediately not interested urgent,0
+91-9882203545,james55@example.net,468,26-35,Married,510693,maybe,0
+91-9501242171,sriley@example.org,514,36-50,Married with Kids,576622,now,0
+91-9124201159,bbrown@example.com,518,36-50,Married with Kids,753557,soon urgent now,1
+91-9341741472,andrewsdavid@example.org,601,18-25,Single,668925,interested,0
+91-9781156296,michelle99@example.org,349,18-25,Single,214114,immediately maybe,0
+91-9612359017,traceydavila@example.net,667,51+,Single,895102,immediately now maybe,1
+91-9855003559,maldonadolaura@example.org,706,18-25,Married,158068,immediately,0
+91-9619557587,roy56@example.com,652,36-50,Married,389219,now interested,0
+91-9102047756,justinrice@example.org,494,26-35,Single,423287,later maybe immediately,0
+91-9778532697,johnlopez@example.net,812,26-35,Married,905722,soon urgent,1
+91-9279618667,treed@example.net,334,51+,Married,300230,urgent now later,0
+91-9951563880,syoung@example.com,827,18-25,Single,557908,maybe immediately soon,0
+91-9204233882,rrichardson@example.com,771,51+,Married,784662,not interested,1
+91-9117488998,woodevan@example.net,805,18-25,Married,884340,urgent later,1
+91-9295271623,hlee@example.net,521,18-25,Married,779875,now urgent maybe,1
+91-9162421247,justin05@example.org,377,51+,Single,148354,maybe interested immediately,1
+91-9566279649,shawn44@example.com,428,26-35,Married with Kids,496485,not interested,0
+91-9340398319,davidweiss@example.org,520,18-25,Married,975222,immediately,1
+91-9344105141,wbray@example.org,356,51+,Married with Kids,292594,later,0
+91-9448750504,smithmatthew@example.com,607,36-50,Single,221525,urgent not interested immediately,1
+91-9242312626,tyler92@example.org,303,51+,Married,847914,not interested now,0
+91-9338363733,coopermichelle@example.org,480,36-50,Single,258102,maybe soon,0
+91-9529699706,alexanderblackwell@example.com,395,51+,Married,695511,now immediately not interested,1
+91-9621486410,samuelwhite@example.com,437,36-50,Married,952424,soon,1
+91-9094271602,holiver@example.com,811,51+,Married with Kids,107077,urgent soon not interested,0
+91-9441244102,rpeters@example.org,534,51+,Single,587306,later soon,1
+91-9063965211,sandranorton@example.net,412,26-35,Single,347301,now,0
+91-9210367421,ocampbell@example.com,629,26-35,Married,816427,later maybe,0
+91-9754738558,campbelllisa@example.com,733,36-50,Married,171180,soon urgent interested,0
+91-9230654530,xdavis@example.org,526,18-25,Single,237254,interested,0
+91-9223995690,robyn23@example.org,417,18-25,Single,636916,maybe urgent not interested,0
+91-9503152840,lindamassey@example.net,682,26-35,Single,912536,later,1
+91-9846772831,marshluke@example.org,544,18-25,Single,987442,immediately interested,0
+91-9462705434,fbell@example.org,542,26-35,Single,883492,urgent,1
+91-9252350355,michaelhowell@example.com,495,36-50,Married with Kids,565805,soon,0
+91-9578349579,woodardthomas@example.org,490,26-35,Single,238008,maybe,0
+91-9778259684,lindamartinez@example.com,825,26-35,Married,356521,maybe urgent now,1
+91-9317962529,margaret39@example.com,681,36-50,Married,669975,soon,1
+91-9296812226,nathanrobinson@example.net,660,26-35,Married with Kids,656582,now urgent,1
+91-9577846958,courtney77@example.org,827,26-35,Married,382472,later not interested immediately,1
+91-9641924824,robertcarter@example.net,724,26-35,Married with Kids,456406,later maybe not interested,1
+91-9326487965,dianahunt@example.org,822,26-35,Married,726606,not interested,1
+91-9291772988,jessicaanderson@example.net,723,36-50,Married,180758,not interested interested soon,0
+91-9439011101,millerpamela@example.org,345,51+,Single,960385,maybe later,0
+91-9236208818,williamswilliam@example.org,567,26-35,Single,759112,maybe,0
+91-9932064557,davismandy@example.org,590,26-35,Married with Kids,740406,now not interested,1
+91-9992311600,brandywilliams@example.org,389,36-50,Married with Kids,223068,maybe,1
+91-9631394557,pinedakeith@example.net,478,36-50,Married,972496,immediately,1
+91-9020084660,hparker@example.com,462,26-35,Married,945224,later,1
+91-9935582763,vnicholson@example.net,833,18-25,Married,407681,later urgent maybe,1
+91-9317556785,steven13@example.net,662,18-25,Single,140447,now urgent,1
+91-9717736859,janiceowens@example.org,779,51+,Single,473412,interested,1
+91-9767246740,tamara66@example.com,301,36-50,Married,329818,now,0
+91-9424793540,victor80@example.org,841,51+,Married,675719,later,1
+91-9387931800,zcabrera@example.org,653,51+,Single,520496,urgent,0
+91-9658578139,tkennedy@example.com,380,18-25,Married with Kids,301059,urgent not interested,0
+91-9149713232,clarknathaniel@example.org,506,36-50,Single,599094,maybe urgent,0
+91-9479676209,andrew60@example.com,551,18-25,Married with Kids,195812,now maybe later,0
+91-9170631256,gavila@example.net,616,26-35,Single,554067,immediately,0
+91-9222816736,bmitchell@example.net,709,36-50,Married,395646,immediately maybe,0
+91-9173208654,jruiz@example.com,430,51+,Married,201832,soon now,0
+91-9744965309,glenn91@example.com,839,18-25,Married,161839,later now,1
+91-9483917603,william31@example.com,497,51+,Single,549504,later maybe,0
+91-9730388469,wilsonstephen@example.com,738,18-25,Single,704583,maybe,1
+91-9821476842,stacyjohnston@example.com,578,26-35,Married,553171,later now urgent,0
+91-9074718616,muellerjonathan@example.net,334,36-50,Married,169092,immediately,0
+91-9784142317,hancockjennifer@example.org,512,36-50,Single,802646,urgent,1
+91-9110586317,donna14@example.net,393,51+,Married with Kids,111147,later soon,0
+91-9450692302,plane@example.org,822,18-25,Married with Kids,402338,immediately not interested,0
+91-9842082312,christopherramirez@example.net,485,51+,Married,475577,soon urgent,0
+91-9705315424,rcolon@example.org,732,26-35,Single,598095,now maybe later,1
+91-9374876975,garzamelissa@example.com,306,18-25,Married,152830,now immediately later,0
+91-9380474449,colecatherine@example.com,453,51+,Married,488627,maybe immediately,0
+91-9159125805,jeffreydavid@example.org,410,26-35,Married,719885,immediately now,1
+91-9941574200,donnareed@example.net,765,26-35,Single,470343,maybe not interested interested,1
+91-9400304329,erinvasquez@example.org,630,18-25,Single,626695,not interested,0
+91-9302764359,bobrien@example.net,362,36-50,Married,990563,immediately later not interested,1
+91-9221987899,sara14@example.net,532,18-25,Married with Kids,750719,not interested,1
+91-9850352596,ballapril@example.com,444,36-50,Married,783244,urgent maybe,0
+91-9179331663,andrew39@example.net,568,18-25,Married with Kids,101813,maybe soon,0
+91-9822066387,amymaddox@example.com,401,18-25,Married,118623,soon,0
+91-9533494127,benjamin59@example.org,750,18-25,Married with Kids,254526,now,0
+91-9338296077,ijackson@example.net,463,26-35,Single,455083,interested soon,0
+91-9353909790,fitzpatrickrachel@example.com,473,26-35,Single,731312,soon,0
+91-9810358198,blee@example.net,655,18-25,Married with Kids,964681,later maybe,1
+91-9344872496,montgomeryjeffrey@example.org,487,51+,Married with Kids,888461,maybe soon interested,1
+91-9530403894,aaron51@example.net,781,18-25,Married,641085,interested urgent,1
+91-9627932189,camposcindy@example.net,401,26-35,Married,188232,interested maybe,0
+91-9826758175,ssmith@example.com,726,18-25,Married,619422,later not interested,1
+91-9598332699,sharonking@example.org,813,51+,Single,417618,now interested,1
+91-9153983382,lisagomez@example.net,369,26-35,Married,844852,now,0
+91-9155694673,robbinsmelissa@example.net,605,18-25,Married,731514,now immediately urgent,1
+91-9319719449,qlawrence@example.org,771,51+,Married with Kids,945599,now maybe interested,1
+91-9174689953,kvillegas@example.org,365,51+,Married with Kids,562753,urgent maybe,0
+91-9722879292,eclark@example.com,675,36-50,Married with Kids,758087,not interested soon,1
+91-9438619978,lisa83@example.com,459,18-25,Single,639491,interested maybe not interested,0
+91-9596589073,jimmyhall@example.net,755,26-35,Married with Kids,948128,maybe,1
+91-9627232726,trichardson@example.com,424,51+,Married with Kids,293712,urgent later not interested,0
+91-9676788908,nicole98@example.com,458,26-35,Married,466937,now soon maybe,0
+91-9990490812,tuckermelinda@example.com,669,26-35,Married with Kids,136366,immediately later,0
+91-9574655404,lisasampson@example.com,362,18-25,Married,289518,immediately,0
+91-9384125309,whitemelinda@example.com,336,36-50,Married,977026,now urgent,1
+91-9868169199,utucker@example.com,382,36-50,Married,740711,immediately now,0
+91-9424025500,mcdanielmelanie@example.org,398,18-25,Married with Kids,719757,urgent,1
+91-9287152145,thomasmorrison@example.net,348,26-35,Married with Kids,574708,soon not interested,0
+91-9342482145,diana27@example.org,844,51+,Single,715524,not interested,0
+91-9071326776,milesjames@example.net,398,51+,Single,186839,soon,0
+91-9592881139,james35@example.com,791,36-50,Single,579793,now later urgent,1
+91-9038788460,brownrobert@example.com,564,26-35,Married,749801,maybe later,1
+91-9838455678,matthew65@example.net,684,18-25,Married,612366,maybe now,1
+91-9156349362,dawn50@example.net,332,26-35,Married with Kids,290186,maybe,1
+91-9671873208,paula08@example.net,850,36-50,Single,644606,interested immediately later,1
+91-9656573084,mowen@example.com,442,26-35,Married with Kids,321234,urgent interested later,0
+91-9177704278,ramirezmiranda@example.org,399,36-50,Married,553350,interested urgent soon,0
+91-9075603858,smithjim@example.net,734,36-50,Married with Kids,822970,immediately interested maybe,1
+91-9022369008,cbrown@example.org,380,51+,Married,575899,interested immediately,1
+91-9427814680,ocrawford@example.org,562,18-25,Married with Kids,464196,interested,0
+91-9111432197,shawkins@example.net,631,26-35,Married,259025,urgent not interested now,1
+91-9009245672,marissasellers@example.org,334,51+,Married,152041,immediately,0
+91-9112104450,rsheppard@example.com,761,18-25,Married with Kids,257295,later immediately,1
+91-9981257704,lhudson@example.net,363,18-25,Married with Kids,816394,later interested not interested,1
+91-9650194306,mariamoore@example.net,604,26-35,Married with Kids,745601,now later not interested,0
+91-9146150000,leachjesse@example.com,420,51+,Married with Kids,201476,later urgent,1
+91-9523867701,james37@example.com,323,26-35,Single,716804,maybe now interested,1
+91-9781467176,xmichael@example.org,620,51+,Married,707240,maybe,0
+91-9390569755,zcooper@example.com,586,18-25,Married,550008,immediately not interested,0
+91-9620862985,greenjulia@example.org,782,26-35,Married,973133,later interested,1
+91-9203797829,merrittnicholas@example.net,572,36-50,Married with Kids,813154,not interested interested,1
+91-9146114830,zking@example.org,815,51+,Married,570273,urgent,0
+91-9336383398,lyonsjane@example.com,666,36-50,Married with Kids,901747,soon urgent not interested,1
+91-9342031051,richardhernandez@example.net,649,51+,Married,296598,not interested maybe soon,0
+91-9118651020,ngonzalez@example.org,802,51+,Married with Kids,189980,interested soon,1
+91-9170151558,jennifermiller@example.org,366,51+,Single,900363,later now immediately,1
+91-9670046026,xsanders@example.com,674,18-25,Married with Kids,666207,now later,1
+91-9418761325,suttontimothy@example.com,710,36-50,Single,835107,now,1
+91-9228091596,richardlucero@example.org,757,18-25,Married,667084,urgent interested maybe,1
+91-9054614788,cole82@example.org,362,26-35,Single,474966,later interested not interested,0
+91-9604797952,qroberts@example.org,462,26-35,Married,608467,immediately,1
+91-9675806874,xanderson@example.org,594,18-25,Single,743285,urgent interested immediately,0
+91-9057191673,jasmin53@example.net,386,26-35,Single,441299,soon maybe,0
+91-9399542324,christophergates@example.com,568,26-35,Single,601140,interested maybe,0
+91-9113462024,ayalakristin@example.org,837,18-25,Married with Kids,398861,maybe urgent immediately,0
+91-9374398609,brownjames@example.net,845,26-35,Married,903827,urgent,1
+91-9659819601,diana04@example.com,681,18-25,Married with Kids,222442,soon later immediately,0
+91-9641320854,stephanie64@example.org,566,26-35,Single,395615,immediately urgent soon,0
+91-9664770236,alisha23@example.net,451,36-50,Single,216971,urgent,0
+91-9002325306,sylvia38@example.net,841,18-25,Married with Kids,580778,immediately,1
+91-9604326966,renee26@example.org,515,51+,Married with Kids,655276,interested urgent,0
+91-9448371767,chorton@example.org,617,26-35,Married,567643,immediately now not interested,0
+91-9839982102,xpowell@example.org,731,51+,Single,781969,immediately maybe,0
+91-9507971241,nicole60@example.org,362,18-25,Married with Kids,591252,immediately interested now,0
+91-9053110363,james14@example.net,648,18-25,Married,339510,maybe soon urgent,1
+91-9025899658,petersmargaret@example.com,719,51+,Married,282592,urgent maybe now,1
+91-9471248799,melissa25@example.net,596,51+,Married,137695,urgent later,0
+91-9223757168,flawson@example.net,730,36-50,Married,442761,later immediately,1
